FIRE NAME (CAUSE),DATE,COUNTY,ACRES,STRUCTURES,DEATHS
MENDOCINO COMPLEX*,July 2018,"Colusa County, Lake County, Mendocino County & Glenn County
","415,006",280,1
THOMAS (Under Investigation),December 2017,Ventura & Santa Barbara,"281,893","1,063",2
CEDAR ( Human Related),October 2003,San Diego,"273,246","2,820",15
RUSH (Lightning ),August 2012,Lassen,"271,911",0,0
RIM (Human Related),August 2013,Tuolumne,"257,314",112,0
ZACA (Human Related),July 2007,Santa Barbara,"240,207",1,0
CARR* (Human Related),July 2018,"Shasta County, Trinity County","229,651","1,604",7
MATILIJA (Undetermined),September 1932,Ventura,"220,000",0,0
WITCH (Powerlines),October 2007,San Diego,"197,990","1,650",2
KLAMATH THEATER COMPLEX (Lightning),June 2008,Siskiyou,"192,038",0,2
MARBLE CONE (Lightning),July 1977,Monterey,"177,866",0,0
LAGUNA (POWERLINES),September 1970,San Diego,"175,425",382,5
BASIN COMPLEX (Lightning),June 2008,Monterey,"162,818",58,0
DAY FIRE (Human Related),September 2006,Ventura,"162,702",11,0
STATION (Human Related),August 2009,Los Angeles,"160,557",209,2
ROUGH (Lightning),July 2015,Fresno,"151,623",4,0
McNALLY (Human Related),July 2002,Tulare,"150,696",17,0
STANISLAUS COMPLEX (Lightning),August 1987,Tuolumne,"145,980",28,1
BIG BAR COMPLEX (Lightning),August 1999,Trinity,"140,948",0,0
HAPPY CAMP COMPLEX (Lightning),August 2014,Siskiyou,"134,056",6,0
